a1 real,a2 real,a3 real,a5 real,a6 real,a7 real,Class
64,58,48,80,45,27,positive
76,56,48,87,52,2,positive
74,76,48,83,57,4,positive
66,62,48,33,37,30,positive
63,68,48,65,41,28,positive
61,74,48,51,31,31,positive
61,76,48,54,28,31,positive
70,67,48,70,41,31,positive
73,80,48,79,55,20,positive
63,71,48,66,35,27,positive
63,60,48,25,35,26,positive
14,74,8,77,55,50,positive
64,50,48,71,50,30,positive
76,56,1,38,54,2,positive
66,49,1,56,55,33,positive
63,61,48,65,46,30,positive
74,74,48,82,55,4,positive
66,54,48,70,48,28,positive
66,55,1,66,58,16,positive
67,50,1,51,55,31,positive
65,64,48,70,40,24,positive
76,55,1,38,54,1,positive
72,77,48,77,51,18,positive
56,81,48,72,42,37,positive
67,38,48,63,53,31,positive
65,56,48,75,44,30,positive
70,51,1,54,54,20,positive
64,80,48,74,50,38,positive
75,55,1,41,54,6,positive
75,55,1,39,54,5,positive
75,74,48,83,56,2,positive
70,29,23,59,54,28,positive
64,78,48,68,23,26,positive
69,72,48,84,46,21,positive
59,62,48,73,42,40,positive
68,64,48,71,43,33,positive
61,71,48,42,33,31,positive
53,79,48,71,38,36,positive
63,55,48,74,43,28,positive
73,75,48,79,4,27,positive
66,48,1,53,56,32,positive
66,63,48,71,39,23,positive
63,49,48,78,44,28,positive
66,54,48,71,47,27,positive
72,77,48,78,4,27,positive
69,47,14,56,57,11,positive
65,53,48,78,42,25,positive
63,68,48,65,40,27,positive
72,83,48,85,57,29,positive
71,73,48,71,45,34,positive
73,81,48,82,56,23,positive
68,48,1,60,55,24,positive
72,72,48,83,25,27,positive
67,49,1,60,55,29,positive
75,55,1,42,54,6,positive
67,52,1,64,56,20,positive
76,58,48,87,53,2,positive
73,11,48,58,52,28,positive
61,72,48,57,36,30,positive
64,53,48,38,44,29,positive
63,64,48,43,38,27,positive
67,69,48,73,4,9,positive
74,76,48,83,57,3,positive
73,80,48,80,55,21,positive
73,79,48,78,55,19,positive
74,56,1,42,54,4,positive
67,81,48,76,51,34,positive
64,58,48,65,48,30,positive
63,50,48,77,44,28,positive
75,75,48,83,56,2,positive
63,68,48,65,39,27,positive
65,50,48,80,46,23,positive
69,51,1,48,55,25,positive
65,53,48,78,42,25,positive
69,70,48,67,42,34,positive
72,81,48,83,55,30,positive
62,55,48,68,49,36,positive
65,66,48,68,24,16,positive
72,49,1,47,57,2,positive
70,76,48,80,48,22,positive
19,73,14,77,52,50,positive
69,59,48,77,37,21,positive
69,82,48,75,4,26,positive
72,72,48,83,26,27,positive
66,65,48,82,45,27,positive
71,55,1,53,56,9,positive
65,84,48,67,11,26,positive
73,54,1,45,54,10,positive
65,39,48,73,46,28,positive
62,69,48,65,40,28,positive
13,72,1,75,58,49,positive
66,87,48,72,6,25,positive
63,50,48,79,45,27,positive
70,58,48,78,41,18,positive
74,54,1,44,54,9,positive
34,63,1,66,57,44,positive
68,76,48,84,46,27,positive
66,54,48,71,46,27,positive
72,65,48,77,4,15,positive
75,55,1,41,54,5,positive
69,47,1,56,57,13,positive
67,79,48,80,48,30,positive
66,50,29,64,54,31,positive
74,66,48,79,4,19,positive
77,68,48,82,5,29,positive
65,69,48,71,40,39,positive
73,50,1,46,57,2,positive
67,79,48,79,49,31,positive
69,50,1,58,54,24,positive
73,54,1,42,54,12,positive
66,84,48,71,10,25,positive
76,58,48,87,53,2,positive
70,34,17,60,54,28,positive
74,76,48,82,56,3,positive
58,83,48,72,24,32,positive
68,76,48,84,45,27,positive
62,67,48,32,33,30,positive
60,71,48,79,39,38,positive
67,49,31,61,55,22,positive
65,53,48,78,42,24,positive
71,36,48,67,45,24,positive
55,68,48,76,36,44,positive
73,57,48,83,47,9,positive
68,75,48,84,45,26,positive
63,67,48,65,42,28,positive
58,68,48,75,37,43,positive
67,54,1,65,58,15,positive
63,69,48,65,41,28,positive
73,9,48,57,52,28,positive
73,13,48,58,51,28,positive
69,46,1,52,58,13,positive
76,56,48,87,52,3,positive
69,62,48,74,40,25,positive
64,59,48,63,42,28,positive
64,51,48,65,53,32,positive
74,57,9,31,50,5,positive
67,50,1,63,55,24,positive
68,55,1,62,57,14,positive
68,80,48,72,50,36,positive
68,62,48,72,43,33,positive
69,49,1,58,54,24,positive
63,64,48,65,44,29,positive
67,83,48,73,4,20,positive
74,73,48,80,4,27,positive
67,49,1,60,55,29,positive
65,39,48,73,46,28,positive
63,65,48,65,43,28,positive
66,49,1,54,55,35,positive
67,52,1,64,56,20,positive
28,65,1,68,57,46,positive
66,66,37,58,43,21,positive
74,64,48,80,15,26,positive
68,49,1,60,54,26,positive
65,76,48,82,44,28,positive
63,62,48,31,36,26,positive
65,39,48,73,46,28,positive
54,78,48,70,38,35,positive
64,52,48,65,52,32,positive
76,58,48,87,53,2,positive
67,75,48,73,4,14,positive
72,82,48,85,55,28,positive
66,49,1,56,55,33,positive
64,49,48,79,45,25,positive
61,82,48,73,47,37,positive
6,75,1,76,58,51,positive
66,75,48,83,44,28,positive
66,54,1,64,57,17,positive
71,81,48,85,53,28,positive
77,67,48,82,4,27,positive
63,68,48,65,41,28,positive
68,63,27,53,46,16,positive
67,81,48,77,50,33,positive
69,47,1,56,57,14,positive
64,56,48,65,50,31,positive
70,46,1,55,57,11,positive
60,68,48,68,39,33,positive
67,82,48,76,51,34,positive
67,68,48,73,4,7,positive
69,76,48,83,47,21,positive
77,67,48,82,4,26,positive
73,63,48,80,21,25,positive
70,46,1,52,58,4,positive
73,50,1,45,56,2,positive
