RI,Na,Mg,Al,Si,K,Ca,Ba,Fe,Class
1.51645,14.94,0.0,1.87,73.11,0.0,8.67,1.38,0.0,negative
1.52777,12.64,0.0,0.67,72.02,0.06,14.4,0.0,0.0,negative
1.51627,13.0,3.58,1.54,72.83,0.61,8.04,0.0,0.0,negative
1.51916,14.15,0.0,2.09,72.74,0.0,10.88,0.0,0.0,negative
1.51829,14.46,2.24,1.62,72.38,0.0,9.26,0.0,0.0,negative
1.51918,14.04,3.58,1.37,72.08,0.56,8.3,0.0,0.0,negative
1.51617,14.95,0.0,2.27,73.3,0.0,8.71,0.67,0.0,negative
1.5169,13.33,3.54,1.61,72.54,0.68,8.11,0.0,0.0,negative
1.52365,15.79,1.83,1.31,70.43,0.31,8.61,1.68,0.0,negative
1.519,13.49,3.48,1.35,71.95,0.55,9.0,0.0,0.0,negative
1.52099,13.69,3.59,1.12,71.96,0.09,9.4,0.0,0.0,negative
1.51837,13.14,2.84,1.28,72.85,0.55,9.07,0.0,0.0,negative
1.51888,14.99,0.78,1.74,72.5,0.0,9.95,0.0,0.0,negative
1.51743,12.2,3.25,1.16,73.55,0.62,8.9,0.0,0.24,negative
1.51969,12.64,0.0,1.65,73.75,0.38,11.53,0.0,0.0,negative
1.51708,13.72,3.68,1.81,72.06,0.64,7.88,0.0,0.0,negative
1.51602,14.85,0.0,2.38,73.28,0.0,8.76,0.64,0.09,negative
1.5186,13.36,3.43,1.43,72.26,0.51,8.6,0.0,0.0,negative
1.51709,13.0,3.47,1.79,72.72,0.66,8.18,0.0,0.0,negative
1.51838,14.32,3.26,2.22,71.25,1.46,5.79,1.63,0.0,negative
1.5173,12.35,2.72,1.63,72.87,0.7,9.23,0.0,0.0,negative
1.523,13.31,3.58,0.82,71.99,0.12,10.17,0.0,0.03,negative
1.51779,13.21,3.39,1.33,72.76,0.59,8.59,0.0,0.0,negative
1.51869,13.19,3.37,1.18,72.72,0.57,8.83,0.0,0.16,negative
1.51653,11.95,0.0,1.19,75.18,2.7,8.93,0.0,0.0,negative
1.51764,12.98,3.54,1.21,73.0,0.65,8.53,0.0,0.0,negative
1.51793,13.21,3.48,1.41,72.64,0.59,8.43,0.0,0.0,negative
1.51909,13.89,3.53,1.32,71.81,0.51,8.78,0.11,0.0,negative
1.51727,14.7,0.0,2.34,73.28,0.0,8.95,0.66,0.0,negative
1.51215,12.99,3.47,1.12,72.98,0.62,8.35,0.0,0.31,negative
1.51658,14.8,0.0,1.99,73.11,0.0,8.28,1.71,0.0,negative
1.51569,13.24,3.49,1.47,73.25,0.38,8.03,0.0,0.0,negative
1.52058,12.85,1.61,2.17,72.18,0.76,9.7,0.24,0.51,negative
1.51613,13.88,1.78,1.79,73.1,0.0,8.67,0.76,0.0,negative
1.51645,13.4,3.49,1.52,72.65,0.67,8.08,0.0,0.1,negative
1.51662,12.85,3.51,1.44,73.01,0.68,8.23,0.06,0.25,negative
1.51514,14.85,0.0,2.42,73.72,0.0,8.39,0.56,0.0,negative
1.51711,14.23,0.0,2.08,73.36,0.0,8.62,1.67,0.0,negative
1.51786,12.73,3.43,1.19,72.95,0.62,8.76,0.0,0.3,negative
1.51969,14.56,0.0,0.56,73.48,0.0,11.22,0.0,0.0,negative
1.51316,13.02,0.0,3.04,70.48,6.21,6.96,0.0,0.0,negative
1.52151,11.03,1.71,1.56,73.44,0.58,11.62,0.0,0.0,negative
1.51652,13.56,3.57,1.47,72.45,0.64,7.96,0.0,0.0,negative
1.52664,11.23,0.0,0.77,73.21,0.0,14.68,0.0,0.0,negative
1.51905,13.6,3.62,1.11,72.64,0.14,8.76,0.0,0.0,negative
1.51574,14.86,3.67,1.74,71.87,0.16,7.36,0.0,0.12,negative
1.51784,12.68,3.67,1.16,73.11,0.61,8.7,0.0,0.0,negative
1.5172,13.38,3.5,1.15,72.85,0.5,8.43,0.0,0.0,negative
1.52213,14.21,3.82,0.47,71.77,0.11,9.57,0.0,0.0,negative
1.5232,13.72,3.72,0.51,71.75,0.09,10.06,0.0,0.16,negative
1.51618,13.53,3.55,1.54,72.99,0.39,7.78,0.0,0.0,negative
1.51131,13.69,3.2,1.81,72.81,1.76,5.43,1.19,0.0,negative
1.51755,13.0,3.6,1.36,72.99,0.57,8.4,0.0,0.11,negative
1.51915,12.73,1.85,1.86,72.69,0.6,10.09,0.0,0.0,negative
1.52177,13.75,1.01,1.36,72.19,0.33,11.14,0.0,0.0,negative
1.5182,12.62,2.76,0.83,73.81,0.35,9.42,0.0,0.2,negative
1.52247,14.86,2.2,2.06,70.26,0.76,9.76,0.0,0.0,negative
1.51667,12.94,3.61,1.26,72.75,0.56,8.6,0.0,0.0,negative
1.52172,13.51,3.86,0.88,71.79,0.23,9.54,0.0,0.11,negative
1.51623,14.14,0.0,2.88,72.61,0.08,9.18,1.06,0.0,negative
1.51596,12.79,3.61,1.62,72.97,0.64,8.07,0.0,0.26,negative
1.51719,14.75,0.0,2.0,73.02,0.0,8.53,1.59,0.08,negative
1.51594,13.09,3.52,1.55,72.87,0.68,8.05,0.0,0.09,negative
1.52725,13.8,3.15,0.66,70.57,0.08,11.64,0.0,0.0,negative
1.5241,13.83,2.9,1.17,71.15,0.08,10.79,0.0,0.0,negative
1.52614,13.7,0.0,1.36,71.24,0.19,13.44,0.0,0.1,negative
1.51609,15.01,0.0,2.51,73.05,0.05,8.83,0.53,0.0,negative
1.51852,14.09,2.19,1.66,72.67,0.0,9.32,0.0,0.0,negative
1.51769,12.45,2.71,1.29,73.7,0.56,9.06,0.0,0.24,negative
1.51589,12.88,3.43,1.4,73.28,0.69,8.05,0.0,0.24,negative
1.51905,14.0,2.39,1.56,72.37,0.0,9.57,0.0,0.0,negative
1.51898,13.58,3.35,1.23,72.08,0.59,8.91,0.0,0.0,negative
1.51115,17.38,0.0,0.34,75.41,0.0,6.65,0.0,0.0,negative
1.51763,12.61,3.59,1.31,73.29,0.58,8.5,0.0,0.0,negative
1.51768,12.56,3.52,1.43,73.15,0.57,8.54,0.0,0.0,negative
1.51663,12.93,3.54,1.62,72.96,0.64,8.03,0.0,0.21,negative
1.52065,14.36,0.0,2.02,73.42,0.0,8.44,1.64,0.0,negative
1.51596,13.02,3.56,1.54,73.11,0.72,7.9,0.0,0.0,negative
1.51674,12.87,3.56,1.64,73.14,0.65,7.99,0.0,0.0,negative
1.51851,13.2,3.63,1.07,72.83,0.57,8.41,0.09,0.17,negative
1.51631,13.34,3.57,1.57,72.87,0.61,7.89,0.0,0.0,negative
1.51711,12.89,3.62,1.57,72.96,0.61,8.11,0.0,0.0,negative
1.51789,13.19,3.9,1.3,72.33,0.55,8.44,0.0,0.28,negative
1.51832,13.33,3.34,1.54,72.14,0.56,8.99,0.0,0.0,positive
1.51796,13.5,3.36,1.63,71.94,0.57,8.81,0.0,0.09,positive
1.51769,13.65,3.66,1.11,72.77,0.11,8.6,0.0,0.0,positive
1.51776,13.53,3.41,1.52,72.04,0.58,8.79,0.0,0.0,positive
1.5161,13.33,3.53,1.34,72.67,0.56,8.33,0.0,0.0,positive
1.51779,13.64,3.65,0.65,73.0,0.06,8.93,0.0,0.0,positive
1.5161,13.42,3.4,1.22,72.69,0.59,8.32,0.0,0.0,positive
1.52121,14.03,3.76,0.58,71.79,0.11,9.65,0.0,0.0,positive
1.51694,12.86,3.58,1.31,72.61,0.61,8.79,0.0,0.0,positive
1.51655,13.41,3.39,1.28,72.64,0.52,8.65,0.0,0.0,positive
1.52127,14.32,3.9,0.83,71.5,0.0,9.49,0.0,0.0,positive
1.51643,12.16,3.52,1.35,72.89,0.57,8.53,0.0,0.0,positive
1.52211,14.19,3.78,0.91,71.36,0.23,9.14,0.0,0.37,positive
1.51665,13.14,3.45,1.76,72.48,0.6,8.38,0.0,0.17,positive
1.5167,13.24,3.57,1.38,72.7,0.56,8.44,0.0,0.1,positive
1.51646,13.04,3.4,1.26,73.01,0.52,8.58,0.0,0.0,positive
1.51934,13.64,3.54,0.75,72.65,0.16,8.89,0.15,0.24,positive
1.5214814971284933,14.287268301542703,3.869786124500956,0.8501425836660291,71.46475047858445,0.05790992803983376,9.401876196461123,0.0,0.09315944945538474,positive
1.5168993748756312,13.490880478114438,3.5953576942339898,1.2243671563552487,72.72027514941077,0.3337618276515735,8.465742903409057,0.0,0.0,positive
1.5165194730141098,13.294158095767019,3.518850687331149,1.3318594704293167,72.69699121690184,0.5690263492945031,8.403894602821987,0.0,0.06991216901832303,positive
1.521870733984723,14.22702926426907,3.814180859325296,0.8872127604498026,71.39987766921284,0.16448668629318247,9.239694173032115,0.0,0.26460901708033696,positive
1.5161221321684126,13.326680174738092,3.531475477894181,1.3414754778941813,72.67110660842064,0.56,8.334057564209,0.0,0.0036886947354532796,positive
1.5176393155081962,13.499800203184623,3.4485653499030158,1.0730690970093453,72.6439043566602,0.37944316023276287,8.743704559844826,0.05856534990301547,0.09370455984482476,positive
1.5166748660488385,13.189732097677114,3.5096785172125364,1.5710180288269673,72.58941061488966,0.5801071609291545,8.409839258606269,0.0,0.13518753162602032,positive
1.5166974260624375,13.234852124875001,3.563822549850001,1.3995619254749958,72.68867467472501,0.5620591500499996,8.436911274925,0.0,0.10360351258749927,positive
1.516200312727125,13.249192525371383,3.4937759596492404,1.3177082828610711,72.76473979784045,0.5488541414305356,8.399661616059152,0.0,0.0,positive
1.5167123693818392,13.402661270877333,3.3854132942983326,1.3038508696486701,72.59413294298332,0.5236693645613338,8.681189598771338,0.0,0.0,positive
1.5161,13.351560570160027,3.4988569542132932,1.3112525731199633,72.67479123781334,0.5671868567200092,8.32760438109333,0.0,0.0,positive
1.5209903528968638,14.221471486977968,3.8478378460471596,0.8184084102327022,71.6666291029049,0.023183179534595696,9.403063076745266,0.021734230813683465,0.03477476930189354,positive
1.5181437970063,13.413206969247186,3.349789055205551,1.5840507484249806,72.04210944794448,0.5648945276027756,8.901898503150038,0.0,0.04405074842498067,positive
1.5161242507325532,13.423156900095668,3.4035873864723496,1.2118207588430425,72.69444835922572,0.5823947406786183,8.328753222992534,0.0,0.0,positive
1.5207573566422734,13.935598444110514,3.70674784026747,0.6211493961569551,71.9981675334999,0.12210276357557502,9.46603799365126,0.03630829072672506,0.058093265162760095,positive
1.5180780312029338,13.444263043059,3.3534427109481175,1.600492199266529,72.00557289051882,0.5667213554740588,8.869015601466943,0.0,0.060492199266529066,positive
1.5189492785963858,13.664482465423184,3.4601197615619386,1.4583661230366767,71.80173937689065,0.488950669211764,8.888665526941523,0.0,0.15674650770795906,positive
1.5163515796104825,12.438035926471107,3.522376375439924,1.3476236245600761,72.83771974032167,0.567623624560076,8.48247249120152,0.0,0.0,positive
1.516536929809167,13.264460528624932,3.5591286539444744,1.3691286539444742,72.69184649045836,0.56,8.410103798347304,0.0,0.07282163486118597,positive
1.5162655024097238,13.416322168672808,3.3963221686728073,1.2420669879631552,72.67161084336404,0.5642551807096523,8.441368433797354,0.0,0.0,positive
1.5166117533993424,13.166461166118715,3.5074919912009084,1.3358766996712295,72.813985192516,0.5452922332237432,8.4914771837169,0.0,0.06323058305935796,positive
1.5166010530219054,12.844212087621766,3.5516764855380445,1.369005891322827,72.76962935495543,0.5636647028923911,8.472982326031518,0.0,0.06335297107608948,positive
1.5161,13.378219721566728,3.460349291070281,1.275707037911029,72.68071549368149,0.5760732405222427,8.324642253159253,0.0,0.0,positive
1.516541873920695,13.376592785079868,3.390902897700544,1.2781942045989119,72.67340721492013,0.52,8.643679716096191,0.0,0.0,positive
1.5166137665490296,12.978596445677454,3.4615288253087533,1.6924740231915876,72.54752597680842,0.5950590748676771,8.404704625661616,0.0,0.14200142425017045,positive
1.5168630127844067,12.981896424689259,3.5767921993502827,1.3324546045480214,72.63887020584745,0.5939609967514132,8.677726977259892,0.0,0.032078006497173586,positive
1.516368448891568,12.37822665716783,3.5218651851039984,1.3481348148960015,72.84896592771203,0.5681348148960015,8.492696297920029,0.0,0.0,positive
1.5164453209490403,13.05549455379081,3.4,1.2583689943378094,72.99695195470248,0.5228542599088335,8.569398463195762,0.0,0.0,positive
1.5167504802203307,13.460914258179763,3.5831839173855284,1.2459053769332957,72.71091070568117,0.3759018244347088,8.440458905339174,0.0,0.0,positive
1.5215001920743418,14.081589702105234,3.7664487127631543,0.6864037605920468,71.65135267559218,0.1486922765789261,9.485557824539564,0.0,0.1193011861183555,positive
1.522095070953965,14.187345947371542,3.7796682434214426,0.9045260164538075,71.36713276643897,0.22800946052865728,9.148459792753208,0.0,0.36386250329669323,positive
1.5166268139587449,13.322944180089122,3.4821767504938705,1.3312093058299281,72.67072558349795,0.5404837223319713,8.542460457757151,0.0,0.0512093058299281,positive
1.521906153802322,14.153760675968329,3.775470084496041,0.8352563941846805,71.45739318333511,0.20282050697624746,9.25551284535095,0.0,0.28619656317676295,positive
1.5212312896325753,14.132899890781259,3.809675809342677,0.6687068023976375,71.68710010921875,0.07096900694503948,9.593227646465513,0.0,0.0,positive
1.5206928471199934,14.177019528215908,3.8058421283373045,0.969493143203993,71.5767212287622,0.09938886453284511,9.371430828276607,0.0,0.01569297861044923,positive
1.5192426083868749,13.713252960709298,3.489806149996964,1.4074751714337754,71.76074388809943,0.46491883095483844,8.911990546426187,0.0,0.1765374333313095,positive
1.517635478437048,13.360938827704043,3.359336767315027,1.4394488099618603,72.33336767315026,0.5445305861479786,8.858509982257818,0.0,0.0,positive
1.5212137962006758,14.048348303266346,3.768857801576857,0.5958175028158164,71.77165169673366,0.1030402987610408,9.639876798197879,0.0,0.0,positive
1.5180095075398925,13.476621439495181,3.35724958111708,1.6176231150268605,71.9675041888292,0.56862479055854,8.834753769946278,0.0,0.0776231150268606,positive
1.5163046398106301,13.299304028405476,3.54364265404201,1.3536426540420103,72.68023199053151,0.56,8.367517298615528,0.0,0.03410663510502585,positive
1.516682978971814,13.2592904986109,3.549574766176694,1.368652647875941,72.69319158872557,0.5554610591503765,8.463829439460524,0.0,0.0886526478759411,positive
1.5180475478254873,13.66936948887136,3.658283701989358,0.6447285532794994,72.90887927811706,0.06376531908607186,8.984220594839435,0.0,0.0,positive
1.5166984193824091,13.424719277594283,3.3924532129323803,1.3094385551885646,72.5664036120286,0.5273596387971411,8.667172490526664,0.0,0.0,positive
1.517964040553753,13.208767434973877,3.4019059906516373,1.4806734256255143,72.26123256502612,0.5728970813857578,8.938411674456969,0.0,0.0,positive
1.5162122052648086,12.93218133385999,3.526599840460342,1.3434001595396583,72.74480350987248,0.5634001595396583,8.398003190793164,0.0,0.0,positive
1.51639061670168,13.46203889395372,3.447522227947684,1.1998944420221338,72.7046222239839,0.5022666560965836,8.37117778394366,0.0,0.0,positive
1.5171771668556449,13.450031926956049,3.3766560243479837,1.4356797159401882,72.32864056811962,0.5422399594200269,8.721167870144086,0.0,0.04003192695604839,positive
1.5202477743837728,13.959837606717915,3.7093257917918376,0.7876279537315195,72.10909816510942,0.08474409253696104,9.172209652986396,0.07944758675340097,0.12711613880544156,positive
1.5182329331752757,13.371114889453077,3.344837045818009,1.5617667061810407,72.09162954181991,0.5624185229090045,8.94646658763792,0.0,0.02176670618104065,positive
1.5190383470323088,13.619517391082702,3.526965612507174,0.7937583008687726,72.65372411071225,0.20003419015653667,8.836931422350638,0.13603458482911512,0.2176553357265842,positive
1.5161339187998755,13.209742436805392,3.528972157579533,1.341027842420467,72.69261253325027,0.5610278424204668,8.350556848409335,0.0,0.0,positive
1.516159749165702,13.3210376251447,3.5339832777134665,1.3439832777134668,72.6729874582851,0.56,8.340954013712034,0.0,0.009958194283666955,positive
1.5164081947758905,13.157557684918435,3.5483449271363363,1.328993043718198,72.6479860874364,0.5783449271363367,8.498773329654297,0.0,0.0,positive
1.5175158709737262,13.377949275222468,3.390512681194383,1.6740738728363311,72.1230760871663,0.580170893731461,8.66421718984906,0.0,0.11712238328389606,positive
1.516602381436192,13.350634372315847,3.452857723430279,1.3149209574612661,72.66095257447677,0.5339683829845064,8.57666598933134,0.0,0.03492095746126609,positive
1.5172542695294036,13.586969806140155,3.5887484765062623,1.1401448753242738,72.74807645430961,0.2415412741422851,8.523267590083666,0.0,0.0,positive
1.5168906129247772,12.878520153208536,3.561479846791464,1.304855512997629,72.65115589601896,0.6007399233957319,8.76839315459004,0.0,0.0,positive
1.517965016042389,13.64,3.6375795066691627,0.6612913575734883,72.96048024849279,0.07129135757348827,8.925483456970605,0.016937036360232416,0.02709925817637185,positive
1.5212567925327514,14.256163908298712,3.869182576420067,0.774968886464406,71.56383609170129,0.02421368995566138,9.52521991266278,0.0,0.0,positive
1.517281916076616,13.56408759507703,3.563348544461658,1.170854620153771,72.72346411400005,0.25676702507674204,8.617898417692286,0.0,0.0,positive
1.5182038868483068,13.290454216452327,3.3601935915988115,1.5206478080511387,72.17954578354767,0.5642069982497525,8.97317200700099,0.0,0.0,positive
1.5182618136629258,13.357476881396085,3.3432325742818922,1.5545465842685153,72.10767425718107,0.5616162871409461,8.96090683146297,0.0,0.014546584268515239,positive
1.5177802891622947,13.526956625655812,3.404927709426354,1.5311590392620213,72.02985541885272,0.5789855418852707,8.792028916229457,0.0,0.009130123032562873,positive
1.5191414340005949,13.840921042868924,3.602849760766801,1.248436051165117,71.82747169221618,0.35172885460256215,9.065499658238286,0.0,0.0,positive
1.518307308068769,13.325677385740184,3.342207292387991,1.5378846781281752,72.14432261425982,0.5604598525808315,8.988160589676674,0.0,0.0,positive
1.5209138348845401,14.239837481135835,3.850278943995644,0.9000153645775621,71.55479463314765,0.058853494862298614,9.418969919993778,0.0,0.0,positive
1.51922376730438,13.752088832388683,3.5345043454300193,1.3147360791559142,71.81118120299348,0.4622256191878195,8.90777438081218,0.0,0.12450434543001934,positive
1.517753875483546,13.529392609938453,3.409898768323076,1.5187852198769076,72.04303695030774,0.5796963049692269,8.78929137826153,0.0,0.0,positive
1.5168049212368093,12.935579784166224,3.571959597429125,1.314824241542525,72.61964848308504,0.6019595974291251,8.71602829634795,0.0,0.0,positive
1.516297544164172,13.211481160040696,3.4,1.2419493515746634,72.86559481259731,0.551588634744339,8.462670785235312,0.0,0.0,positive
1.5165339451525537,13.10162096046146,3.452377816392242,1.2969725762768767,72.91448751128473,0.5323241920922923,8.536865327676978,0.0,0.030810480230730672,positive
1.5215232348664476,14.085686198479584,3.766960774809948,0.6948527843641418,71.64034334158612,0.15176464885968793,9.472500242346326,0.0,0.12877433398403781,positive
1.5173334117979578,13.598418058824072,3.6016899795402546,1.1346696240406617,72.75205845524316,0.2176492685410687,8.537204593351044,0.0,0.0,positive
1.5162295193503936,13.353025662292197,3.489705090988655,1.3227307532808523,72.66136537664043,0.5484871688539015,8.422102649168789,0.0,0.0,positive
